Start,End,Name
3510,3569,Machinery & Equipment
3570,3590,Computer Hardware
4812,4899,Telecommunication
7370,7374,Computer Software

2000,2111,Foods & Beverages
2200,2390,Textiles
2400,2590,Furniture
2600,2790,Paper & Printing
3011,3290,Non-Metals
3310,3490,Metals
3600,3695,ELectrical & Electronic
3711,3790,Vehicles
3910,3990,Art

100,900,Agriculture
2800,2891,Chemicals
3812,3829,Measure & Control
3841,3851,Medical Apparatus
3861,3861,Photography
3873,3873,Watches & Clocks
8000,8093,Medical Services

5000,5190,Wholesale
5200,5990,Retail
7200,7331,Advertising Services
7340,7363,Miscellaneous Services
7377,7385,Miscellaneous Services
7389,7389,Business Services
7500,7600,Miscellaneous Services
7812,7997,Recreational Services
8111,8600,Social Services
8700,8734,Research & Engineering Services
8741,8744,Management Services
8900,8900,Management Services

1000,1400,Mining
2911,2990,Petroleum & Coal
4011,4731,Transportation
4900,4991,Power & Energy

6021,6159,Bankings
6189,6189,Asset-backed Securities
6162,6199,Finance
6200,6282,Trade & Investment
6311,6411,Insurance

1520,1731,Construction
6500,7011,Real Estate
9995,9995,Real Estate






















